Name	Code
ITALY-DS Market - PRICE INDEX	TOTMKIT
ITALY-DS Consumer Svs - PRICE INDEX	CODISIT
ITALY-DS Oil & Gas - PRICE INDEX	ENEGYIT
ITALY-DS Basic Mats - PRICE INDEX	BMATRIT
ITALY-DS Industrials - PRICE INDEX	INDUSIT
ITALY-DS Consumer Gds - PRICE INDEX	COSTPIT
ITALY-DS Telecom - PRICE INDEX	TELCMIT
ITALY-DS Utilities - PRICE INDEX	UTILSIT
ITALY-DS Technology - PRICE INDEX	TECNOIT
ITALY-DS Financials - PRICE INDEX	FINANIT
ITALY-DS Health Care - PRICE INDEX	HLTHCIT
EU-DS Market - PRICE INDEX	TOTMKEU
EU-DS Consumer Svs - PRICE INDEX	CODISEU
EU-DS Oil & Gas - PRICE INDEX	ENEGYEU
EU-DS Basic Mats - PRICE INDEX	BMATREU
EU-DS Industrials - PRICE INDEX	INDUSEU
EU-DS Consumer Gds - PRICE INDEX	COSTPEU
EU-DS Telecom - PRICE INDEX	TELCMEU
EU-DS Utilities - PRICE INDEX	UTILSEU
EU-DS Technology - PRICE INDEX	TECNOEU
EU-DS Financials - PRICE INDEX	FINANEU
EU-DS Health Care - PRICE INDEX	HLTHCEU
US-DS Market - PRICE INDEX	TOTMKUS
US-DS Consumer Svs - PRICE INDEX	CODISUS
US-DS Oil & Gas - PRICE INDEX	ENEGYUS
US-DS Basic Mats - PRICE INDEX	BMATRUS
US-DS Industrials - PRICE INDEX	INDUSUS
US-DS Consumer Gds - PRICE INDEX	COSTPUS
US-DS Telecom - PRICE INDEX	TELCMUS
US-DS Utilities - PRICE INDEX	UTILSUS
US-DS Technology - PRICE INDEX	TECNOUS
US-DS Financials - PRICE INDEX	FINANUS
US-DS Health Care - PRICE INDEX	HLTHCUS
EMERGING MARKETS-DS Market - PRICE INDEX	TOTMKEK
EMERGING MARKETS-DS Consumer Svs - PRICE INDEX	CODISEK
EMERGING MARKETS-DS Oil & Gas - PRICE INDEX	ENEGYEK
EMERGING MARKETS-DS Basic Mats - PRICE INDEX	BMATREK
EMERGING MARKETS-DS Industrials - PRICE INDEX	INDUSEK
EMERGING MARKETS-DS Consumer Gds - PRICE INDEX	COSTPEK
EMERGING MARKETS-DS Telecom - PRICE INDEX	TELCMEK
EMERGING MARKETS-DS Utilities - PRICE INDEX	UTILSEK
EMERGING MARKETS-DS Technology - PRICE INDEX	TECNOEK
EMERGING MARKETS-DS Financials - PRICE INDEX	FINANEK
EMERGING MARKETS-DS Health Care - PRICE INDEX	HLTHCEK
