ticker,gics_category,error
AAPL,Information Technology,
ABC,Unknown,
ABMD,Health Care,
ADBE,Information Technology,
ADI,Information Technology,
ADM,Consumer Staples,
ADP,Information Technology,
ADSK,Information Technology,
AEE,Utilities,
AEP,Utilities,
AES,Utilities,
AFL,Financials,
AIG,Financials,
AIV,Real Estate,
AJG,Financials,
AKAM,Information Technology,
ALB,Materials,
ALL,Financials,
AMAT,Information Technology,
AMD,Information Technology,
AME,Industrials,
AMGN,Health Care,
AMT,Real Estate,
ANSS,Information Technology,
AON,Financials,
AOS,Industrials,
APA,Energy,
APD,Materials,
APH,Information Technology,
ARE,Real Estate,
ATO,Utilities,
ATVI,Communication Services,
AVB,Real Estate,
AVY,Materials,
AXP,Financials,
AZO,Consumer Discretionary,
BA,Industrials,
BAC,Financials,
BAX,Health Care,
BBY,Consumer Discretionary,
BDX,Health Care,
BEN,Financials,
BF-B,Consumer Staples,
BIIB,Health Care,
BIO,Health Care,
BK,Financials,
BKNG,Consumer Discretionary,
BLK,Financials,
BLL,Materials,
BMY,Health Care,
BRK.B,Financials,
BSX,Health Care,
BWA,Industrials,
BXP,Real Estate,
C,Financials,
CAG,Consumer Staples,
CAH,Health Care,
CAT,Industrials,
CB,Financials,
CCI,Real Estate,
CCL,Consumer Discretionary,
CDNS,Information Technology,
CERN,Unknown,
CHD,Consumer Staples,
CHRW,Industrials,
CI,Health Care,
CINF,Financials,
CL,Consumer Staples,
CMA,Financials,
CMCSA,Communication Services,
CMI,Industrials,
CMS,Utilities,
CNP,Utilities,
COF,Financials,
COG,Energy,
COO,Health Care,
COP,Energy,
CPB,Consumer Staples,
CSCO,Information Technology,
CSX,Industrials,
CTAS,Industrials,
CTL,Communication Services,
CTXS,Information Technology,
CVS,Health Care,
CVX,Energy,
D,Utilities,
DD,Materials,
DE,Industrials,
DGX,Health Care,
DHI,Real Estate,
DHR,Health Care,
DIS,Communication Services,
DISH,Communication Services,
DLTR,Consumer Staples,
DOV,Industrials,
DRE,Real Estate,
DRI,Consumer Discretionary,
DTE,Utilities,
DUK,Utilities,
DVA,Health Care,
DVN,Energy,
EA,Communication Services,
EBAY,Consumer Discretionary,
ECL,Industrials,
ED,Utilities,
EFX,Industrials,
EIX,Utilities,
EL,Consumer Discretionary,
EMN,Materials,
EMR,Industrials,
EOG,Energy,
EQR,Real Estate,
ES,Utilities,
ESS,Real Estate,
ETN,Industrials,
ETR,Utilities,
EXC,Utilities,
EXPD,Industrials,
F,Consumer Discretionary,
FAST,Industrials,
FCX,Materials,
FDX,Industrials,
FE,Utilities,
FFIV,Information Technology,
FISV,Information Technology,
FITB,Financials,
FLIR,Industrials,
FLS,Industrials,
FMC,Materials,
FRT,Real Estate,
GD,Industrials,
GILD,Health Care,
GIS,Consumer Staples,
GL,Financials,
GPC,Industrials,
GPS,Consumer Discretionary,
GS,Financials,
GWW,Industrials,
HAL,Energy,
HAS,Consumer Discretionary,
HBAN,Financials,
HD,Consumer Discretionary,
HES,Energy,
HFC,Energy,
HIG,Financials,
HOLX,Health Care,
HON,Industrials,
HPQ,Information Technology,
HRB,Financials,
HRL,Consumer Staples,
HSIC,Health Care,
HST,Real Estate,
HSY,Consumer Staples,
HUM,Health Care,
HWM,Industrials,
IBM,Information Technology,
IDXX,Health Care,
IEX,Industrials,
IFF,Materials,
